gold;orlen;fund;eur
-0,00358;0,00470;0,02335;-0,00155
0,00552;0,00876;-0,00385;-0,00221
-0,00549;0,00406;-0,01165;-0,00387
0,01029;-0,01973;0,01550;-0,00021
-0,01394;-0,00325;-0,00772;-0,00302
0,00013;-0,00952;-0,01170;-0,00301
0,00260;-0,01628;-0,00787;0,00105
0,01470;0,01688;0,00787;-0,00013
-0,00657;0,00596;0,00391;-0,00197
0,00566;-0,00149;-0,00391;0,00079
0,02478;-0,03358;-0,00787;0,00615
-0,00608;-0,00555;-0,03213;0,00153
-0,00100;0,00817;0,00407;0,00084
-0,01870;0,00015;0,00810;-0,00122
-0,00406;-0,01033;-0,01626;-0,00234
0,00889;-0,00825;-0,01237;0,00005
0,00080;-0,01385;0,00414;0,00366
-0,01740;0,01166;-0,02088;-0,00124
0,00563;-0,00141;0,02500;-0,00316
0,00680;0,00844;-0,00412;0,00468
0,01138;-0,01678;-0,01247;-0,00085
0,01363;0,02268;0,01247;-0,00014
0,00545;-0,02015;-0,02511;0,00246
-0,01693;0,00031;-0,03011;-0,00190
-0,01247;-0,03695;-0,01762;0,00221
-0,00427;0,00473;0,01762;0,00194
0,00094;-0,00441;-0,03104;0,00320
0,01758;0,01816;0,01786;-0,00094
0,00042;-0,01099;0,01319;-0,00022
0,01382;0,04758;0,01302;-0,00295
-0,01268;-0,01325;-0,00432;-0,00374
-0,00825;-0,01153;0,01290;0,00028
0,01641;0,01654;0,00851;-0,00665
-0,00626;0,00855;-0,00425;0,00079
0,00282;-0,01986;-0,00855;0,00285
-0,00198;0,00896;0,00000;0,00045
-0,00706;-0,02939;-0,00430;0,00053
-0,00091;0,01647;-0,00432;-0,00413
0,00933;0,00490;0,01290;0,00402
0,00133;0,00142;-0,00428;0,00026
0,00024;-0,00490;0,00000;0,00291
0,00786;0,01228;0,00000;-0,00164
-0,00570;0,00639;-0,00430;-0,00153
-0,00595;0,02456;0,00000;-0,00325
0,00259;-0,02100;0,00000;0,00252
-0,00351;-0,01184;-0,00432;-0,00088
0,00726;-0,02556;0,07504;0,00149
-0,00611;-0,01621;0,00401;0,00017
0,00723;0,00343;-0,00401;-0,00174
0,00645;-0,00965;-0,00402;0,00092
0,00063;-0,00908;0,01202;0,00200
0,01240;-0,00749;-0,00399;-0,00085
0,00801;0,01576;0,00797;-0,00075
-0,00585;-0,00115;0,00396;-0,00079
-0,00418;0,00967;0,00394;-0,00078
-0,00499;-0,00671;-0,00394;-0,00047
0,00785;0,00930;-0,01996;0,00078
0,01180;-0,02011;0,00000;-0,00128
0,00756;0,00285;0,00803;0,00018
0,00133;0,02145;0,00399;-0,00338
0,00698;-0,00593;0,03907;0,00288
0,00343;-0,02875;0,00382;0,00158
-0,00614;0,02366;0,02264;0,00036
-0,00216;-0,01774;0,01113;0,00130
0,01797;0,02055;0,01465;0,00141
0,00112;0,02716;0,00000;0,00156
0,00423;-0,01982;-0,00364;0,00323
0,00509;0,00434;-0,00366;0,00194
-0,00200;-0,03026;0,02174;0,00137
-0,01251;-0,01403;-0,02174;-0,00432
-0,00336;0,00920;0,01815;-0,00188
0,01049;-0,00558;-0,01085;0,00124
0,00700;0,00504;-0,01097;-0,00241
0,00005;-0,00866;-0,02607;0,00060
0,00645;-0,00837;0,00377;-0,00035
0,00858;-0,00605;-0,00377;0,00174
0,01214;-0,01593;0,00000;0,00148
0,00621;-0,00281;0,00377;-0,00008
0,00775;0,00616;0,01122;0,00328
0,01286;-0,01803;-0,00746;0,00045
-0,00537;0,00000;-0,03429;0,00546
0,00337;0,00586;-0,01957;-0,00029
0,00573;0,01384;0,00000;0,00085
-0,00166;-0,00540;-0,00794;0,00038
0,00920;-0,01071;0,00794;-0,00228
0,00443;-0,01082;0,00000;0,00348
-0,01855;-0,00574;-0,00396;-0,00055
-0,00150;0,00841;0,01183;0,00058
-0,00187;-0,00822;-0,00787;0,00004
-0,01370;-0,00423;0,01179;-0,00051
0,00147;0,03448;0,01550;-0,00920
0,00353;-0,02070;0,00766;0,00327
-0,01854;-0,04292;0,01890;0,00583
-0,00673;0,00889;0,00374;-0,00301
-0,00368;0,04349;-0,01504;-0,00345
-0,00234;-0,00604;-0,01143;-0,00168
0,01128;0,01168;-0,02326;0,00000
0,01323;-0,03197;0,00000;0,00384
0,01167;-0,00952;-0,01183;0,00030
0,01597;0,01952;0,00000;0,00210
0,01750;-0,00788;-0,00398;-0,00193
-0,04369;0,00135;0,03138;-0,00528
0,00245;0,00289;-0,00775;-0,00146
-0,00668;-0,01471;0,00388;-0,00060
0,00263;-0,00137;-0,01170;0,00080
-0,00082;-0,00391;0,00391;-0,00288
